Pressure (bar),Loading (mmol/g)
0.2,0.63946236515945
0.66381721559481,1.9724895914484
1.2298724660926,3.4569226858202
1.8298724660926,4.4732069487837
2.4298724660926,5.3521324574436
3.0298724660926,6.0205913102688
3.6298724660926,6.579024095708
4.2298724660926,7.0017784828232
4.8298724660926,7.3607290084119
5.4298724660926,7.669732401093
6.0298724660926,8.0171687632951
6.6298724660926,8.3256175557268
7.2298724660926,8.492933001113
7.8298724660926,8.7782044696897
8.4298724660926,9.0469538174041
9.0298724660926,9.2581902914954
9.6298724660926,9.4641622020254
10.2,9.7410898340143
